id,age,color,latitude,longitude,date,location,specific_location,running,chasing,climbing,eating,foraging,other_activities,kuks,quaas,moans,tail_flags,tail_twitches,approaches,indifferent,runs_from
10A-AM-1006-04,Juvenile,Gray,40.774721358538700,-73.976159253248200,2018-10-06,Above Ground,tree near large rock on Bridle Path,False,False,False,False,False,walking on branch,False,False,False,False,True,False,False,False
38F-PM-1013-05,Juvenile,Gray,40.795068972313500,-73.954400765868500,2018-10-13,Ground Plane,,False,False,False,False,True,"being chased,was pushed by other squirrel",True,True,False,False,False,False,False,False
41B-PM-1014-01,Adult,Gray,40.799368134968000,-73.957598616136400,2018-10-14,Above Ground,Climbing tree,False,False,True,False,False,climbing (tree),False,False,False,False,False,False,False,True
36A-PM-1013-07,,Gray,40.795541899085500,-73.960770137044300,2018-10-13,Ground Plane,"""FIELD""",False,True,False,False,False,chasing #8,False,False,False,False,False,False,False,True
5C-AM-1006-05,Adult,Gray,40.770584618512100,-73.976403652298400,2018-10-06,Ground Plane,,False,False,False,False,True,,False,False,False,False,False,False,True,False
32E-PM-1017-03,Adult,Gray,40.790819328498100,-73.958924955523500,2018-10-17,Above Ground,bottom of tree,False,False,False,True,False,still,False,False,False,False,False,False,True,False
31A-PM-1017-04,Adult,Gray,40.791768540448200,-73.963462341876100,2018-10-17,Ground Plane,,False,False,False,True,True,,False,False,False,False,False,False,False,False
42G-AM-1018-03,Adult,Gray,40.797844914331300,-73.952111015487200,2018-10-18,Ground Plane,,True,False,False,False,False,stop to look at me—then ran,False,False,False,False,False,False,False,True
37D-PM-1014-04,Adult,Gray,40.795001362020700,-73.957480902824800,2018-10-14,Ground Plane,,False,True,False,False,True,chasing (a chipmunk),False,False,False,False,False,False,False,True
24B-AM-1013-01,,Gray,40.785411934253800,-73.967097592707000,2018-10-13,Above Ground,,True,False,False,True,False,took nut to bury,False,False,False,False,True,False,False,True
7G-AM-1010-02,Adult,Gray,40.770194155027300,-73.971131879027900,2018-10-10,Above Ground,,True,False,False,False,False,,False,False,False,False,True,False,False,True
